halId_s,uri_s,title_s,doiId_s,journalTitle_s,producedDateY_i,retrieved_at,modifiedDate_tdate,laboratories,authors,linked_dataset_dois,linked_repositories,keywords
hal-04173237,https://hal.inrae.fr/hal-04173237v1,"Compilation of data on model cheeses composition, rheological and sensory properties, from six research projects exported from the BaGaTel database",10.1016/j.dib.2021.106971,Data in Brief,2021,2026-07-21T14:15:12Z,2026-07-21T14:15:12Z,CSGA | UB | CNRS | INRAE | UBFC | URTAL | SayFood,Elisabeth Guichard | Thierry Thomas-Danguin | Solange Buchin | Bruno Perret | Hervé Guillemin | Caroline Pénicaud | Christian Salles,,,Fatty perception | Salty taste | Firmness | Food structure | Quality | Dairy food | Database
hal-03935742,https://ube.hal.science/hal-03935742v1,Exploring cortico-cortical interactions during action preparation by means of dual-coil transcranial magnetic stimulation: A systematic review,10.1016/j.neubiorev.2021.07.018,Neuroscience and Biobehavioral Reviews,2021,2026-07-17T10:36:34Z,2026-07-17T10:36:34Z,CAPS | UB | INSERM,Cécilia Neige | Dylan Rannaud Monany | Florent Lebon,,,Dual-coil TMS | Functional connectivity | Motor system | Reaction time | Motor preparation
hal-04649150,https://hal.inrae.fr/hal-04649150v1,Antibodies to the tonoplast from the storage parenchyma cells of beetroot recognize a major intrinsic protein related to TIPs.,,European Journal of Cell Biology,1995,2026-07-17T10:31:46Z,2026-07-17T10:31:46Z,CRCTB | UB | CHU Bordeaux | INSERM,Pascale Dozolme | Danièle Marty-Mazars | Marie-Claude Clémencet | Francis Marty,,,
hal-05448987,https://institut-agro-dijon.hal.science/hal-05448987v1,Proteomic profile data of Klebsormidium nitens alga grown in control and saline conditions,10.1016/j.dib.2025.112335,Data in Brief,2026,2026-07-08T13:15:26Z,2026-09-25T09:53:33Z,INRAE | Institut Agro | UBE | FR AIB | CNRS | EPE UT | Comue de Toulouse | IPBS,Alix Martinet | Carole Pichereaux | David Wendehenne | Sylvain Jeandroz | Valérie Nicolas-Francès,,,Proteome | NaCl stress | LC-MS/MS | Klebsormidium nitens | Alga
hal-05399922,https://hal.science/hal-05399922v1,Competition Between Protein and DNA for Binding to Natural Sepiolite Nanofibers,10.2147/IJN.S488353,International Journal of Nanomedicine,2025,2026-07-08T03:35:49Z,2026-07-08T03:35:49Z,IC UM3 (UMR 8104 / U1016) | INSERM | CNRS | UPCité | ICB | UTBM | UBE | UH | ICMM | CSIC,David Adame Brooks | Olivier Piétrement | Elodie Dardillac | Fidel Castro Smirnov | Pilar Aranda | Eduardo Ruiz-Hitzky | Bernard S Lopez,,,Bionanomaterials | Sepiolite clay mineral | Sepiolite-DNA interaction | Sepiolite-protein interaction
hal-04181245,https://hal.science/hal-04181245v1,Weed density of 7 major weeds in the long-term integrated weed management cropping system experiment of Dijon-Epoisses (2000-2017),10.15454/M5P3LM,Recherche Data Gouv,2020,2026-07-07T15:33:41Z,2026-07-07T15:33:41Z,UB | UBFC | INRAE | CSTM,Stéphane Cordeau | Guillaume Adeux | Dominique Meunier | Florence Strbik | François Dugué | Hugues Busset | Eric Vieren | Gilles Louviot | Nicolas Munier-Jolain,,,
hal-04981941,https://hal.science/hal-04981941v1,Acclimation and recovery dynamics of behavioral and coloration responses of a common fish (Squalius cephalus) to paracetamol exposure,10.1016/j.chemosphere.2025.144225,Chemosphere,2025,2026-07-03T03:01:16Z,2026-07-03T03:01:16Z,CEBC | ULR | CNRS | INRAE | METIS | EPHE | PSL | INSU - CNRS | SU | IBENS | ENS-PSL | INSERM,Léa Lorrain-Soligon | Alexis Golven | Simon Agostini | Alexis Millot | Alexandre Bauer | Thierry Rigaud | Beatriz Decencière | Carine Puppo | Aurélie Goutte,,,Acanthocephala | Acute | Biotic interactions | Long-term | Mesocosm | Paracetamol
hal-04958543,https://ube.hal.science/hal-04958543v1,Impaired peroxisomal beta-oxidation in microglia triggers oxidative stress and impacts neurons and oligodendrocytes,10.3389/fnmol.2025.1542938,Frontiers in Molecular Neuroscience,2025,2026-07-02T10:06:49Z,2026-07-02T10:06:49Z,BIO-PEROXIL | UB | INSERM | UBFC | CSGA | CNRS | INRAE | Institut Agro | UBE | CIML | AMU | IGBMC,Ali Tawbeh | Catherine Gondcaille | Quentin Raas | Damien Loichot | Yannick Hamon | Céline Keime | Alexandre Benani | Francesca Di Cara | Mustapha I Cherkaoui-Malki | Pierre Andreoletti | Stéphane Savary,10.3389/fnmol.2025.1542938/full,,Neuroinflammation | Peroxisome | Microglia | Oxidative stress | Reactive oxygen species | Nitric oxide | X-linked adrenoleukodystrophy
hal-05299715,https://hal.inrae.fr/hal-05299715v1,A genotype-by-sequencing dataset and identity-by-state matrix of genetic variation in 821 Pinus radiata trees from 16 counties,10.1016/j.dib.2025.112123,Data in Brief,2025,2026-06-10T15:14:02Z,2026-06-10T15:14:02Z,GECI | ELGO -DIMITRA | UMR ISPA | Bordeaux Sciences Agro | INRAE | BioForA | ONF | UEFP | INIAV | ITQB | NOVA | Institut Agro,Sarah L Addison | Luciana L Mendoza | Megan A Rúa | Peter W Clinton | Avtzis Dimitrios | Bakker Mark R. | Barriga-Barra Tiara | Benoit Vanina | Bernier Frédéric | Bragança Helena | Cobo Nicolas | Courty Pierre-Emmanuel | Daley Kaitlyn | Prestwich Barbara Doyle | Eichler Nina | Estades Joan Antoni | Fotelli Mariangela | Gardiennet Alain | Gharabaghlou Sahar | Greene Madeline R. | Harris Anna | Herrero Javier | Henriques Isabel | Hutchinson Emma | Irving Dean | Jewell Lewis | Knight Victoria | Lema Margarita | Leitão Frederico | Lettice Eoin | Roux Johannes J. Le | Mathes Falko | Molina Lucía | Moroenyane Itumeleng | Mukherjee Arpan | Nolan Claire | Nordström Ida | Pildain Maria Belen | Pinto Glória | Verma Jay Prakash | Silva Ana | Slaughter Mariah | Smaill Simeon | Santamaria Marjorie | Sapsford Sarah J. | Shwe Sabai | Touza Roberto | Vargas-Gaete Rodrigo | Édrenne Louise V | Wang Yanliang | Yan Zhen-Zhen | Yu Fuqiang | Yuan Jing | Zuma. Mnqobi | Steven Wakelin,10.5061/dryad.bzkh189pc,Dryad,Population ecology | Genetic gain | Forestry | Conservation
hal-03146377,https://hal.inrae.fr/hal-03146377v1,"A dataset on above- and below-ground traits of 21 species found in banana cropping systems, cultivated individually",10.1016/j.dib.2020.105890,Data in Brief,2020,2026-05-07T13:58:52Z,2026-05-07T13:58:52Z,UR GECO | Cirad | UB | UBFC | INRAE,Gaëlle Damour | Florence Tardy | Marc Dorel | Delphine Moreau,10.18167/dvn1/hiexnf | 10.1016/j.dib.2020.105890,CIRAD Dataverse | Journal DOI (10.1016),Weeds | Banana | Nutrient acquisition | Light acquisition | Root traits | Plant traits | Leaf traits | Cover crops
hal-04318466,https://ube.hal.science/hal-04318466v1,"Laevilacunaria (Mollusca, Gastropoda) in the Southern Ocean: a comprehensive occurrence dataset.",10.3897/BDJ.11.e111982,Biodiversity Data Journal,2023,2026-05-06T18:16:01Z,2026-05-06T18:16:01Z,ICML | BASE | iBio | CHIC | UMAG | IDEAL | BGS | UB | CNRS,Andreas Schmider-Martínez | Claudia S. Maturana | Yarleth Poveda | Sebastián Rosenfeld | Zambra López-Farrán | Thomas Saucède | Elie Poulin | Claudio González-Wevar,,,Southern Ocean | Sub-Antarctic | Antarctic | Laevilitorininae | Laevilacunaria | Littorinids
hal-05248793,https://hal.inrae.fr/hal-05248793v1,"Dataset of 111 metagenome-assembled genomes from cattle manure, soil and manured soil samples",10.1016/j.dib.2025.111748,Data in Brief,2025,2026-05-05T16:37:41Z,2026-05-05T16:37:41Z,INRAE | Institut Agro | UBE | BIOLOGY CENTRE CAS | CAS,Eduardo Pérez-Valera | Dana Elhottová,10.5281/zenodo.15309541,Zenodo,Opportunistic pathogens | Non-fermenting Gram-negative bacteria | CHROMagar acinetobacter | Pseudomonas | Acinetobacter
hal-05504216,https://hal.inrae.fr/hal-05504216v1,"How does low-input crop management perform? Economic, environmental and social assessment data on different arable crop management strategies in France",10.1016/j.dib.2025.112316,Data in Brief,2026,2026-05-05T15:53:43Z,2026-05-05T15:53:43Z,INRAE | Institut Agro | UBE | Agronomie,Simon Buresi | Chantal Loyce | Rémy Ballot,10.57745/lca116,Recherche Data Gouv,Expert knowledge elicitation | Crop sequence | Crop management route | Fertilisers | Pesticides
hal-04059014,https://hal.science/hal-04059014v1,Leaf microbiome data for European cultivated grapevine (Vitis vinifera L.) during downy mildew (Plasmopara viticola) epidemics in three wine-producing regions in France,10.1094/PHYTOFR-11-22-0138-A,PhytoFrontiers™,2023,2026-05-05T15:52:34Z,2026-05-05T15:52:34Z,UB | UBFC | INRAE | Institut Agro | UMR SAVE | Bordeaux Sciences Agro | BioGeCo,Didac Barroso-Bergadà | François Delmotte | Julie Faivre d'Arcier | Marie Massot | Emilie Chancerel | Isabelle Demeaux | Soizic Guimier | Erwan Guichoux | David Bohan | Corinne Vacher,10.15454/2ydsbl,Recherche Data Gouv,Bacteria | Plant disease | Phyllosphere | Pathobiome | Oomycete | Microbiota | Microbial community | Metabarcoding | Holobiont | Fungi
hal-03729303,https://hal.inrae.fr/hal-03729303v1,A dataset on concurrent and immediate retrospective methods for measuring sensory perception and preferences of lemon-flavoured carbonated alcoholic drinks.,10.1016/j.dib.2022.108346,Data in Brief,2022,2026-05-05T15:52:25Z,2026-05-05T15:52:25Z,CSGA | UB | CNRS | INRAE | Institut Agro | UBFC,Michel Visalli | Takahiro Wakihira | Pascal Schlich,10.17632/729tsts8ng.1,Mendeley Data,Sensory analysis | Consumer preferences | Temporal methods | Alcoholic beverage | Check-all-that-apply | Multiple intakes
hal-03257098,https://hal.inrae.fr/hal-03257098v1,A dataset on odor intensity and odor pleasantness of 222 binary mixtures of 72 key food odorants rated by a sensory panel of 30 trained assessors,10.1016/j.dib.2021.107143,Data in Brief,2021,2026-05-05T15:52:16Z,2026-05-05T15:52:16Z,CSGA | UB | CNRS | INRAE | UBFC,Yue Ma | Ke Tang | Yan Xu | Thierry Thomas-Danguin,10.15454/51ovy6,Recherche Data Gouv,Synergy | Partial addition | Odor interaction | Masking | Hedonic | Dominance
hal-05424646,https://ube.hal.science/hal-05424646v1,The Power of Weak Signals: A Twitter Analysis on Game of Thrones’ Final Season,,Transactions on Large-Scale Data- and Knowledge-Centered Systems,2023,2026-04-04T10:52:09Z,2026-04-04T10:52:09Z,LIB | UB,Hiba Abou Jamra | Marinette Savonnet,,,
hal-03939298,https://hal.science/hal-03939298v1,Effects of assisted reproductive technologies on transposon regulation in the mouse pre-implanted embryo,10.1093/humrep/dez020,Human Reproduction,2019,2026-04-03T16:26:25Z,2026-04-03T16:26:25Z,LNC | UB | INSERM | CHU Dijon | SU | CNRS,Virginie Carmignac | Julie Barberet | Julian Iranzo | Ronan Quéré | Magali Guilleman | Déborah Bourc’his | Patricia Fauque,,,
hal-04570707,https://ube.hal.science/hal-04570707v1,Coronary Artery Disease: A Key Issue in Type 2 Myocardial Infarction: Systematic Review and Recent Findings,10.3390/jcm12196412,Journal of Clinical Medicine,2023,2026-04-03T16:26:25Z,2026-04-03T16:26:25Z,PEC2 | UB | UBFC | CHU Dijon,Hermann Yao | Marianne Zeller | Roland N’guetta | Alain Putot,,,Type 2 myocardial infarction | Coronary angiography | Coronary artery disease | Prognosis | Secondary prevention medications
hal-04570651,https://ube.hal.science/hal-04570651v1,Characteristics and prognosis of patients with elevated triglycerides in acute myocardial infarction: observational data from a large database over a 17-year period,10.1016/j.jacl.2023.11.004,Journal of clinical lipidology,2024,2026-04-03T16:26:25Z,2026-04-03T16:26:25Z,CHU Dijon | PEC2 | UB | UBFC,Marianne Zeller | Frédéric Chague | Maud Maza | Florence Bichat | Yves Cottin | Michel Farnier,,,Triglycerides | Recurrent ischemic event | Prognosis | Acute myocardial infarction
hal-05424504,https://hal.science/hal-05424504v1,Die Deutschsprachige Gemeinschaft und die (Kon)Föderalisierung Belgiens,10.35998/ejm-2025-0020,Europäisches Journal für Minderheitenfragen,2025,2026-03-20T15:47:21Z,2026-03-20T15:47:21Z,TIL | UBE,Vince Liégeois,,,Belgium | German-speaking Community | Senate | Confederalism | Political representation | Minority protection
hal-04145806,https://hal.inrae.fr/hal-04145806v1,A dataset of consumer perceptions of gustometer-controlled stimuli measured with three temporal sensory evaluation methods,10.1016/j.dib.2023.109271,Data in Brief,2023,2026-02-21T11:08:09Z,2026-02-21T11:08:09Z,CSGA | UB | CNRS | INRAE | Institut Agro,Noëlle Béno | Léna Nicolle | Michel Visalli,,,Aromatic compounds | Temporal dominance of sensations | Temporal check-all-that-apply | Taste interaction | Sensory perception | Sensometrics | Rate-All-That-Apply | Free-comment | Attack-evolution-finish | Free-comment Temporal dominance of sensations Temporal check-all-that-apply Attack-evolution-finish Rate-All-That-Apply Sensory perception Taste interaction Sensometrics | Sodium chloride | Temporal dominance of sensation | Sensometric | Evaluation methods | Consumer sensory | Consumer perception | Sensory analysis
hal-03863058,https://hal.inrae.fr/hal-03863058v1,"A dataset of sensory perception of chocolates, guacamoles, ice teas and crisps collected with consumers using six temporal methods",10.1016/j.dib.2022.108708,Data in Brief,2022,2026-02-21T11:05:27Z,2026-02-21T11:05:27Z,UBFC | CSGA | UB | CNRS | INRAE | Institut Agro,Michel Visalli | Sylvie Cordelle | Pascal Schlich | Benjamin Mahieu | Catherine Pedron | Betty Hoffarth | Manon Praudel | Marine Coutière,,,TDS | TCATA | AEF | Free-comment | Sensometric
hal-03429126,https://hal.science/hal-03429126v1,"Data on agronomic traits, biochemical composition of lipids, proteins and polysaccharides and rheological measurement in a brown mustard seed collection",10.1016/j.dib.2021.107417,Data in Brief,2021,2026-02-21T11:04:17Z,2026-02-21T11:04:17Z,BIA | INRAE | CA 21 | UB | UBFC,Sophie Le Gall | Véronique Solé-Jamault | Marine Nars-Chasseray | Aude Le Goff | Lucie Le Bot | Thierry Guinet | Christelle Renaud | Stéphane Bansard | Laure Ohleyer | Sylvain Jeandroz,,,Technological quality trait | Pedoclimatic variation | Microsatellite genotyping | Biochemical composition | Agronomic traits | Mustard seed
hal-01845520,https://hal.science/hal-01845520v1,Description of long-term monitoring of farmland biodiversity in a LTSER,10.1016/j.dib.2018.05.028,Data in Brief,2018,2026-02-19T09:26:08Z,2026-02-19T09:26:08Z,CEBC | INRA | ULR | CNRS | LTSER-ZAPVS | RZA | INEE-CNRS | SADAPT | LIENSs | INSU - CNRS | ITSAP | AE,Vincent Bretagnolle | Elsa Berthet | Nicolas Gross | Bertrand Gauffre | Christine Plumejeaud | Sylvie Houte | Isabelle Badenhausser | Karine Monceau | Fabrice Allier | Pascal Monestiez | Sabrina Gaba,https://archives-publications.inrae.fr/430117.pdf,,
hal-03707295,https://hal.science/hal-03707295v1,Dataset of Phanerozoic continental climate and Köppen–Geiger climate classes,10.1016/j.dib.2022.108424,Data in Brief,2022,2026-02-13T03:18:40Z,2026-02-13T03:18:40Z,BGS | UB | CNRS | UC Riverside | UC | UGent | BioGeCo | INRAE | LSCE | UVSQ | INSU - CNRS | DRF (CEA),Alexandre Pohl | Thomas Wong Hearing | Alain Franc | Pierre Sepulchre | Christopher Scotese,,,Köppen–Geiger climate classes | Seasonal evaporation | Seasonal precipitation | Seasonal temperatures | Continental climate | Phanerozoic | General circulation model | Paleoclimate
hal-04828911,https://hal.science/hal-04828911v1,Regulations of activities and protection levels in marine protected areas of the European Union: A dataset compiled from multiple data sources,10.1016/j.dib.2024.111177,Data in Brief,2024,2026-02-07T05:29:42Z,2026-02-07T05:29:42Z,UB | UBFC | INRAE | Institut Agro | CRIOBE | UPVD | EPHE | PSL | CNRS,Juliette Aminian-Biquet | Claire Colegrove | Alex Driedger | Nicole Raudsepp | Jennifer Sletten | Timothé Vincent | Virgil Zetterlind | Julia Roessger | Anastasiya Laznya | Natașa Vaidianu | Joachim Claudet | Juliette Young | Barbara Horta E Costa,,,MPA guide | Conservation | Biodiversity protection | Maritime uses | MSP
hal-05312283,https://hal.science/hal-05312283v1,An Efficient Placement Approach of Visual Sensors under Observation Redundancy and Communication Connectivity Constraints,10.4236/jcc.2025.1310002,Journal of Computer and Communications,2025,2026-01-19T16:46:21Z,2026-01-19T16:46:21Z,CERI SN - IMT Nord Europe | IMT Nord Europe | IMT | ImViA | UBE,Yves Faga | Frantz Tossa | Wahabou Abdou | Julien Dubois,,,Deployment Optimization | Overall Coverage | Zones of Interest Observation | Connectivity | Visual Sensor Networks VSNs
hal-04960492,https://hal.science/hal-04960492v1,A CCR4 antagonist reverses the tumor-promoting microenvironment of renal cancer,10.1172/JCI82976,Journal of Clinical Investigation,2017,2025-11-28T13:36:02Z,2025-11-28T13:36:02Z,INRA | UB | UBFC | QMUL | EPFL,Chiara Berlato | Moddasar Khan | Tiziana Schioppa | Richard Thompson | Eleni Maniati | Anne Montfort | Maryam Jangani | Monica Canosa | Hagen Kulbe | Urs Hagemann | Alexander Duncan | Laura Fletcher | Robert Wilkinson | Thomas Powles | Sergio Quezada | Frances Balkwill,,,
hal-04211909,https://hal.inrae.fr/hal-04211909v1,Plant communities can attenuate flooding induced N2O fluxes by altering nitrogen cycling microbial communities and plant nitrogen uptake,10.1016/j.soilbio.2023.109142,Soil Biology and Biochemistry,2023,2025-11-06T20:07:07Z,2025-11-06T20:07:07Z,WUR | UB | UBFC | INRAE | Institut Agro,Arlete Barneze | Jan Willem van Groenigen | Laurent Philippot | David Bru | Diego Abalos | Gerlinde de Deyn,,,Microbialcommunity | Plant productivity | Climate change | Nitrogen | Grasslands
